category,name
Chemistry,Ei-ichi Negishi
Peace,Eisaku Sato
Literature,Elfriede Jelinek
Literature,Elias Canetti
Chemistry,Elias James Corey
Peace,Élie Ducommun
Peace,Elie Wiesel
Peace,Elihu Root
Economic Sciences,Elinor Ostrom
Physiology or Medicine,Elizabeth H. Blackburn
Peace,Ellen Johnson Sirleaf
Chemistry,Emil Fischer
Physiology or Medicine,Emil von Behring
Physics,Emilio Segrè
Peace,Emily Greene Balch
Physics,Enrico Fermi
Chemistry,Eric Betzig
Physics,Eric Cornell
Physiology or Medicine,Eric F. Wieschaus
Physiology or Medicine,Eric Kandel
Economic Sciences,Eric S. Maskin
Literature,Erik Axel Karlfeldt
Literature,Ernest Hemingway
Physics,Ernest Lawrence
Chemistry,Ernest Rutherford
Physics,Ernest T.S. Walton
Peace,Ernesto Teodoro Moneta
Physiology or Medicine,Ernst B. Chain
Chemistry,Ernst Otto Fischer
Physics,Ernst Ruska
Physiology or Medicine,Erwin Neher
Physics,Erwin Schrödinger
Economic Sciences,Esther Duflo
Economic Sciences,Eugene F. Fama
Literature,Eugene O'Neill
Physics,Eugene Wigner
Literature,Eugenio Montale
Peace,European Union (EU)
Literature,Eyvind Johnson
Physics,F. Duncan M. Haldane
Chemistry,F. Sherwood Rowland
Peace,F.W. de Klerk
Physics,Felix Bloch
Physiology or Medicine,Feodor Lynen
Physics,Ferdinand Braun
Peace,Ferdinand Buisson
Physiology or Medicine,Ferid Murad
Economic Sciences,Finn E. Kydland
Chemistry,Frances H. Arnold
Physiology or Medicine,Francis Crick
Chemistry,Francis W. Aston
Economic Sciences,Franco Modigliani
Physics,François Englert
Physiology or Medicine,François Jacob
Literature,François Mauriac
Physiology or Medicine,Françoise Barré-Sinoussi
Peace,Frank B. Kellogg
Physics,Frank Wilczek
Literature,Frans Eemil Sillanpää
Chemistry,Frédéric Joliot
Literature,Frédéric Mistral
Peace,Frédéric Passy
Physiology or Medicine,Frederick C. Robbins
Physiology or Medicine,Frederick G. Banting
Physics,Frederick Reines
Chemistry,Frederick Sanger
Chemistry,Frederick Soddy
Peace,Fredrik Bajer
Peace,Fridtjof Nansen
Chemistry,Friedrich Bergius
Economic Sciences,Friedrich von Hayek
Peace,Friends Service Council
Physics,Frits Zernike
Chemistry,Fritz Haber
Physiology or Medicine,Fritz Lipmann
Chemistry,Fritz Pregl
Literature,Gabriel García Márquez
Physics,Gabriel Lippmann
Literature,Gabriela Mistral
Literature,Gao Xingjian
Economic Sciences,Gary Becker
Chemistry,Geoffrey Wilkinson
