category,name
Physiology or Medicine,Torsten N. Wiesel
Physics,Toshihide Maskawa
Economic Sciences,Trygve Haavelmo
Physics,Tsung-Dao Lee
Physiology or Medicine,Tu Youyou
Physiology or Medicine,Ulf von Euler
Peace,United Nations
Peace,United Nations Children's Fund
Peace,United Nations Peacekeeping Forces
Literature,V. S. Naipaul
Physics,Val Fitch
Chemistry,Venkatraman Ramakrishnan
Literature,Verner von Heidenstam
Economic Sciences,Vernon L. Smith
Literature,Vicente Aleixandre
Physics,Victor F. Hess
Chemistry,Victor Grignard
Chemistry,Vincent du Vigneaud
Physics,Vitaly L. Ginzburg
Chemistry,Vladimir Prelog
Chemistry,Walter Gilbert
Physics,Walter H. Brattain
Physiology or Medicine,Walter Hess
Chemistry,Walter Kohn
Physics,Walther Bothe
Chemistry,Walther Nernst
Peace,Wangari Maathai
Economic Sciences,Wassily Leontief
Chemistry,Wendell M. Stanley
Physiology or Medicine,Werner Arber
Physiology or Medicine,Werner Forssmann
Physics,Werner Heisenberg
Physics,Wilhelm Conrad Röntgen
Chemistry,Wilhelm Ostwald
Physics,Wilhelm Wien
Chemistry,Willard F. Libby
Physics,Willard S. Boyle
Physiology or Medicine,Willem Einthoven
Physics,William A. Fowler
Physics,William B. Shockley
Physics,William Bragg
Literature,William Butler Yeats
Physiology or Medicine,William C. Campbell
Economic Sciences,William D. Nordhaus
Physics,William D. Phillips
Chemistry,William E. Moerner
Chemistry,William F. Giauque
Economic Sciences,William F. Sharpe
Literature,William Faulkner
Physiology or Medicine,William G. Kaelin Jr
Literature,William Golding
Chemistry,William H. Stein
Chemistry,William Knowles
Chemistry,William Lipscomb
Physiology or Medicine,William P. Murphy
Economic Sciences,William Vickrey
Physics,Willis E. Lamb
Peace,Willy Brandt
Literature,Winston Churchill
Literature,Wislawa Szymborska
Literature,Wladyslaw Reymont
Literature,Wole Soyinka
Physics,Wolfgang Ketterle
Physics,Wolfgang Paul
Physics,Wolfgang Pauli
Peace,Woodrow Wilson
Peace,Yasser Arafat
Literature,Yasunari Kawabata
Peace,Yitzhak Rabin
Physics,Yoichiro Nambu
Physiology or Medicine,Yoshinori Ohsumi
Chemistry,Yuan T. Lee
Chemistry,Yves Chauvin
Physics,Zhores Alferov
Chemistry,Frederick Sanger
Peace,International Committee of the Red Cross
Physics,John Bardeen
Chemistry,Linus Pauling
Chemistry,Marie Curie
Peace,Office of the United Nations High Commissioner for Refugees
Peace,International Committee of the Red Cross
